,user_id,author,affiliation
171,HLXaHaQAAAAJ,Thoetphum Benyakorn,"Assistant Professor of Surgery, Thammasat University"
172,9B2xPZwAAAAJ,Sakkakom Maneenop,"Department of Finance, Thammasat Business School"
173,sPNLbBEAAAAJ,Pasitpon Vatcharavongvan,"Faculty of medicine, Thammasat University"
174,THq7zHkAAAAJ,Pana Suttakul,"Sirindhorn International Institute of Technology, Thammasat University"
175,_6Bg2wMAAAAJ,Riza Eka Saputra,"Master's Student at Sirindhorn International Institute of Technology (SIIT), Thammasat …"
176,USNdDDcAAAAJ,Mahesh Kumar Sharma,"Department of Electrical and Computer Engineering, Thammasat University, Rangsit …"
177,O5v1JZwAAAAJ,Pongphan Leelatien,Thammasat University
178,_yizwDoAAAAJ,Patchanok Srisuradetchai,Thammasat University
179,PkFWEbUAAAAJ,Charlie Thame,"Assistant Professor in International Relations, Thammasat University"
180,4Qnf3T0AAAAJ,Kedwadee Sombultawee,Assistant professor of Thammasat University
181,TSl-lysAAAAJ,Krittakom Srijiranon,"Department of Computer Science, Faculty of Science and Technology, Thammasat …"
182,HI_T5EQAAAAJ,boonanan natakun,"Lecturer in interior architecture, Faculty of Architecture and Planning, Thammasat University"
183,izbSPNwAAAAJ,Vanlee Siriganjanavong,Thammasat University
184,D6PmTr8AAAAJ,Chatphorn Theppitak,Thammasat University
185,INGqUvAAAAAJ,Pimsiri Taylor,"The Language Institute, Thammasat University"
186,ZfF9ubwAAAAJ,Ray Wang,Thammasat University
187,9XBboDkAAAAJ,Laliphat Manamanchaiyaporn,"Department of Mechanical Engineering, Thammasat University"
188,g3Jq1TkAAAAJ,Dichapong Pongpattrachai,Thammasat Business School
189,ICKbTXkAAAAJ,Le Kim Hoang Pham,"Ph.D student, Thammasat University"
190,q1CwtV8AAAAJ,Anh Tuan Ta,Thammasat University
191,0ixSekYAAAAJ,Panitharn Juntongjin,Thammasat Business School
192,qk2DoWMAAAAJ,"Teerachai Arunruangsirilert, PhD, CPA, FAC","Assistant Professor of Accounting Department, Thammasat Business School, Thammasat …"
193,7XxhxlsAAAAJ,Euamporn Phijaisanit (เอื้อมพร พิชัยสนิธ),"Professor of Economics, Thammasat University"
194,ASISt-UAAAAJ,Neil Bowen,"Lecturer, Thammasat University"
195,As7myZIAAAAJ,Tiraphap Fakthong,"Lecturer in Economics, Thammasat University"
196,N08YncAAAAAJ,Prapimphan Chiengkul,"Assistant Professor at Faculty of Political Science, Thammasat University"
197,_7fILAQAAAAJ,John Chocce,Thammasat University
198,SkUKkNUcfwAC,Sayambhu Saita,"Faculty of Public Health, Thammasat University"
199,lxGhO6UAAAAJ,Bipul Neupane,Sirindhorn International Institute of Technology
200,LhsrvBN9-nAC,"Jinpitcha Mamom (Mamom, J),RN,APN,MNS,Ph.D","Associate Professor of Faculty of Nursing,Thammasat University"
201,n-F4VHUAAAAJ,Sirisilp Kongsilp,"Lecturer, Thammasat University"
202,q9z33g4AAAAJ,ChomChuen Somprasert.Ph.D.,"Assistant Professor,Faculty of Nursing ,Thammasat University"
